comment,author,date,score
This game should be release for mobile version. anyone agree or disagree?,MS AJ,2022-04-22T12:27:10Z,0.172
"Me watching the trailer: 😃


Me watching videos of the game after the release: 😐",SadTicalDaNoob,2022-04-22T04:30:51Z,0.0
"Battlefield 1 
Reveal Trailer: good
Gameplay: good
Battlefield v
Reveal Trailer: trash
Gameplay: good
Battlefield 2042
Reveal Trailer: good
Gameplay: poorly made",H.I.H,2022-04-21T15:20:28Z,0.227
R.I.P. Battlefield....it was fun.,MedicBobs,2022-04-21T06:11:17Z,0.0
Yooo when does this game come out? Cause we sure as hell didn’t get it with whatever the hell Dice put out at the end of last year,Jacob Garrett,2022-04-20T22:40:57Z,0.252
lol I said it. And y'all called me dumb. I said this wasn't battlefield.,Andy Pozuelos,2022-04-20T21:20:58Z,0.171
atleast one good thing came from BF2042 I discovered a good song. But its in the trailer... so dk if it counts,PhysiquedSage,2022-04-20T17:21:12Z,0.0
Honestly at this point fixing it is a lost cause they officially killed any respect players had for EA,LongEaredElf,2022-04-20T16:43:14Z,0.244
"It's crazy to me that these big game companies still haven't realized that making a game with good mechanics is more important than literally anything else. People still play Smash Bros. Melee, people still play CoD2, people are still going back to the original halo. Good graphics don't mean anything if they're attached to a game that's buggy and unenjoyable. Make a game first, and then make the best graphics with the amount of time you have left.",LiamSCl Live,2022-04-20T15:06:34Z,0.026
Too bad the devs are the ones blamed not those money makers on the higher ups that make the decisions ://,Drunk Driver,2022-04-20T14:46:43Z,0.258
"I imagine that this video will be where battlefield fans longing for the past will come to wonder what could have been. Dice and ea, u guys really JACKED IT UP THIS TIME. You also said you heard from the community that we want ""legacy features such as score boards and voice chat"" . That wasn't a serious statement was it? Those are legacy features? I hope you guys see ... Nevermind.",yEaRiGhTiSSiK,2022-04-20T02:53:27Z,0.048
The only good thing about battlefield is the trailers,Reyl,2022-04-20T00:14:24Z,0.208
So when’s the beta coming out?,Brandon M,2022-04-19T20:35:34Z,0.0
Diceppointment,Marine3D,2022-04-19T19:35:09Z,0.0
Just here to wish everyone but EA and DICE’s development team a good day.,Siva,2022-04-19T14:29:46Z,0.0
Dislike,MegaR XD,2022-04-19T08:04:14Z,1.0
"@ 0:35 no wing suit 
@ 0:37 wing suit magically appears 😂",Truth Watch,2022-04-18T22:23:59Z,0.196
Flashback to when we had hopes for this game,Julien,2022-04-18T20:13:29Z,0.0
"Remember saying that this was probably gonna be the best shooter of the year, better than Infinite and Vanguard.

Now it's the worst 💀",Steve,2022-04-18T18:24:24Z,0.127
"Dear Dice,

This game sucks. The specialists are trash. This trailer was a lie. I want my money back.",Dan The Man,2022-04-17T05:08:40Z,0.112
This game had so much potential. Everyone was hyped for it. It could've made so many happy memories,Cool Stick,2022-04-17T03:24:53Z,0.0
the power of battlefield is full,Santiago Espinoza,2022-04-16T20:14:51Z,0.342
I'm convinced this is a leak of a different fantastic game in the making and not the awful one we got,MC awesome,2022-04-16T18:43:49Z,0.085
lixo,stoRAGE06651,2022-04-16T18:09:34Z,0.0
"Don't worry guys, they'll release this in 2042.. hopefully :)",Shekhar Kumar,2022-04-16T17:01:34Z,0.0
I like how battlefield is showing what the community does in real game,Handsome fish,2022-04-16T10:16:21Z,0.161
Dead game,MRTIIN 22,2022-04-16T02:41:43Z,0.811
I'm sure they meant next good battlefield is coming in 2042,yitzhay,2022-04-16T02:28:12Z,0.165
I always knew it was gonna happen.,Press E,2022-04-16T01:12:55Z,0.0
this didn’t age well,YouTube Recommendations,2022-04-15T22:14:35Z,0.0
When 2142 was better than this,TTS Bodyshot,2022-04-15T09:55:43Z,0.0
"The development team (that probably had a lot of passionate battlefield fans) when administration, sales, and production departments completely derail the hopes and plans of making a battlefield game that reminds them of their childhood and/or young-adulthood.",S o u p,2022-04-15T01:24:15Z,0.167
what a flop,The Phoenix Valkyrie,2022-04-14T22:28:51Z,0.545
I know every single BF fan is heartbroken coming back to this trailer,table,2022-04-14T20:33:47Z,0.244
"Remember, only in battlefield",KillerKinkstar,2022-04-14T19:15:44Z,0.464
"No one:
Absolutely nobody:
Not a single organism ever:
DICE in 2020: LeT's MaKe fUtUrE bAtTlEfIeLd GaMe EvEn ThOuGh No OnE eVeR aSkEd fOr It AnD oUr BeSt GaMe EvEr WaS BaTtLeFiElD 1.
Still nobody else: ...",P32,2022-04-14T18:12:48Z,0.21
"i played the beta once, havent touched it since",CyniicEdits,2022-04-14T16:48:39Z,0.0
"plot twist, there was a glitch in the universe where another trailer was sent to ours while our trailer was sent to theirs, both of the fans in both universes were dissapointed because of the gameplay(our universe) and the trailer(alternate universe)",Me when keqing…,2022-04-14T12:01:50Z,0.0
This game and trailer completely overhyped everybody.,Erts Warthron,2022-04-14T09:25:55Z,0.0
Next time make the cast full of obese black women I'm sure it will work out,Marshall Higgins,2022-04-14T07:38:47Z,0.0
Then the game launched,Frequent-Blackouts,2022-04-14T03:50:04Z,0.0
It’s funny how the trailer is more entertaining than the game.,Dislike Button,2022-04-14T02:39:53Z,0.0
It was a shame how this game flopped,Kommander,2022-04-14T00:31:05Z,0.307
This trailer aged really well .....  People did really get what they hoped for ;),Megadeath,2022-04-13T20:26:35Z,0.0
The trailers good the game just flopped,Bryan Henderson,2022-04-13T12:56:14Z,0.0
False advertisement.,Im Errorz,2022-04-13T11:05:54Z,0.0
"Re watching this trailer after the game got below 1K users !!! 
So much promise, all for this ...",Gaurav Mehta,2022-04-13T09:01:43Z,0.0
"2 letters for ya;
E A.",IBD Gonzo,2022-04-13T06:21:54Z,0.0
"Dear EA, next time don't force DICE to make a hero shooter they make battlefield... BATTLEFIELD not OVERWATCH",BRADYLA,2022-04-13T04:21:53Z,0.227
2:58,JMRJgaming,2022-04-13T02:53:44Z,0.0
"Me: Mom I want this game.

Mom: we have bf2042 at home.",131313user,2022-04-13T02:25:28Z,0.0
"“You were the chosen it was said you would destroy trends not join them. Bring balance to the shooter genre, not leave it in darkness.”- every battlefield fan after release.",Diamond Spider10,2022-04-13T01:43:22Z,0.219
Remember to dislike and unsubscribe.,Jon Smith,2022-04-12T21:33:13Z,0.394
I'd rather guide my dad into my mum than play this garbage.,Jon Smith,2022-04-12T21:29:26Z,0.0
Dice & EA did something imposiible!!! They killed battlefiled game. Realy impresive.,AH-64 Apache,2022-04-12T21:04:29Z,0.328
"Ultimate expectation
Reality moment",AaronTheAmazing,2022-04-12T20:42:43Z,0.0
"A minute of silence for the people who got Standart,Gold and Ultimate editions",FFFHunter,2022-04-12T17:37:58Z,0.0
Wow can't wait for this game to come out!,Yuval Harel,2022-04-12T14:38:54Z,0.0
scam trailer,Debjyoti Sinha,2022-04-12T09:14:47Z,0.787
Idk what’s worst red dead or this both wasted potential,Nick Buckley,2022-04-12T03:49:30Z,0.684
2:59,Obsidian Fury51,2022-04-11T19:21:05Z,0.0
"Those randomized soldiers are just a placeholder for the trailer,too bad they cut the most valuable resources for the game.",ALYXION,2022-04-11T17:39:04Z,0.215
Pain,Robin Nouara,2022-04-11T10:41:23Z,1.0
I come back here...just to dream...,Zathuranth,2022-04-10T16:02:08Z,0.0
I still like this triler,Emad Wahid,2022-04-10T11:48:54Z,0.0
greatest trailer with the worst game,Operator Camp,2022-04-09T15:30:12Z,0.333
This aged badly 😆,Doom Slayer,2022-04-09T12:15:52Z,0.323
"Congratulations, direction of ELETRONIC ARTS, each year deserving the award for the worst company in the gaming world. You managed to ruin a wonderful franchise out of greed to the extreme.
And before I forget: You deserve to lose much more than you are losing until the day you realize that reputation is more important than making infinite money at the expense of gamers.",Claudio Rodrigues Caco,2022-04-09T06:24:19Z,0.209
"Anyone noticed the detail in this trailer, like the fact that the antarctica map has penguins witnessing the fighting and having no idea what the f@#$ is going on. Too bad this game didn't work out as well as I thought it would.",Nightwing 03,2022-04-08T15:48:54Z,0.161
"The only thing i can say really is what a shame. This has got to be one of my favorite trailers of any video game of all time and to think how much potential was wasted, such a shame.",Opεrator Ķilò,2022-04-08T06:42:30Z,0.198
0:20 They look like those who have escaped from this game,INUKASU 513,2022-04-07T18:29:53Z,0.0
This is what it should have been when it launched.,TengkuJG,2022-04-07T04:38:21Z,0.0
Never again,John Smith,2022-04-06T20:55:03Z,0.0
worse than vanguard,Yeah I am a Bangladeshi,2022-04-06T17:32:20Z,0.608
I can't belive I fell for this,Miguel Lacouture,2022-04-06T08:12:53Z,0.0
I can bet money bf 2042 will be a lit game when the next one is launched. That's how dice works unfortunately.,Manish Kumar,2022-04-06T06:18:16Z,0.1
This is like looking at photos of dead family members,Blue Cherry,2022-04-06T03:13:06Z,0.291
"Can't believe this was 9 months ago, I remember it being released just a few hours ago",Seanne Paro,2022-04-05T13:17:32Z,0.0
"I remember when you were just some soldier fighting for your country, not some cringe “that was fun!” While getting shot",Scott Malkinson,2022-04-05T05:19:11Z,0.122
This game betrayed me more then my girlfriend did. Still battlefield 4 is better,Mr.Penguin,2022-04-05T02:10:41Z,0.322
I WANT A REFUND!!!!!!!!!!!!!!!!!!!!!!!!!!!,Angawa Pesêderrie,2022-04-05T01:03:30Z,0.0
This is why we don’t trust trailers kids.,Brax,2022-04-04T14:20:07Z,0.0
I really should not overestimate the quality of this game.,Dawn The,2022-04-04T11:30:01Z,0.0
Cant wait till this game comes out!,Patrick Johnson,2022-04-04T09:23:51Z,0.0
Aw man this looked so cool at one point,Keith Eilish,2022-04-04T07:35:45Z,0.0
"This game is so beautiful.
My only favorite game.",Chylaux,2022-04-04T06:52:36Z,0.0
"Roses are red,
Violets are blue,
I just got clickbaited,
And so did you.",Tacos de Cabeza,2022-04-04T01:59:52Z,0.0
I just feel sad rewatching this trailer,Cruwer,2022-04-03T22:27:38Z,0.341
"the open beta was great because it was just basic and functional stuff
All the broken stuff was released on the official day 1.
I'm glad I didn't pre-order it and I will NEVER preorder games again.",Gabriel Nilo,2022-04-03T22:09:24Z,0.07
"The best Battlefield trailer of all time, but the worst game of all time.
(Google Translate)",蔡佳翔,2022-04-03T21:40:57Z,0.323
Videos that didn't age well,Ty Candappa,2022-04-03T20:16:28Z,0.312
good point in 2042 : this trailer. / bad points in 2042 : everything except this,곽진웅,2022-04-03T17:35:59Z,0.172
Z,просто ваня,2022-04-03T17:14:32Z,0.0
Make a flying black hole next time!,Google User,2022-04-03T09:01:23Z,0.0
It’s called battlefield 2042 because the actual game will be released in 2042,jiaqi shao,2022-04-03T03:18:11Z,0.178
"Meh, BF1 is still better",An indonesian dude,2022-04-03T02:43:36Z,0.181
I hate that you cant clip something in bf4. I used a standerd rpg with no lock on and shot a helicopter down from across the map.,Idk,2022-04-02T21:54:08Z,0.191
Looks like Ukraine!,Reyder,2022-04-02T20:04:29Z,0.0
I remember me and my brother skipped class to see the trailer and we never even bought it 😂,Diego Olguin,2022-04-02T17:32:16Z,0.071
This is the game the bots be playing when the server is empty,TheFi0r3,2022-04-01T22:33:25Z,0.123
"3:33 I don't know if it's me but that part of the trailer reminds me of just cause 2, what memories",Jm14v8A,2022-04-01T18:32:27Z,0.0
Everyone involved in this game should be unemployed. Well done.,Tom O'Connell,2022-04-01T00:04:35Z,0.0
I find Battlefield 2042 a bit disappointing. But the rush of ages mode is awesome.,Daniel Koolhaas,2022-03-31T19:18:05Z,0.181
"Sometimes I come back to this trailer, just to remember what hope felt like.",Super Pochaco,2022-03-31T19:05:34Z,0.0
"Did u guys remember this hype, when trailer came out?... good times, good times.",Audrius G,2022-03-31T11:46:55Z,0.0
"Wow, I really wish this trailer was a game.",Dr. Rubbertail,2022-03-31T01:44:37Z,0.0
If there was ever a time for a “gameplay is not in trailer” text ITS NOW,ACE,2022-03-30T19:10:05Z,0.0
SCAM 2042. ITS been ~6 Months. No DLC,MATRED97,2022-03-30T05:28:53Z,0.525
Ah you guys got scammed😂,your cucumber is soft and your garden is overgrown,2022-03-30T04:14:21Z,0.139
"1.1 million likes and no dislikes, this game must be good right?",JCBOY,2022-03-30T02:50:01Z,0.0
If only,Crustierodin,2022-03-30T00:56:47Z,0.0
This is heartbreaking to watch,Mystery,2022-03-29T23:37:56Z,0.429
so sad to see this franchise going down a hill,Neko,2022-03-29T19:39:29Z,0.274
To bad Motley Crue has one of their best songs associated with this game,Stuff 96,2022-03-29T19:03:47Z,0.178
I try playing this game everyday but and it only makes me regret that I should have waited. Will never trust EA and dice anymore.,Nikhil Sen,2022-03-29T16:48:55Z,0.237
"I actually realy enjoy the game i dont get the hate for the game theres a few bugs here n there but what game dosent ,what am i missing?people are so spoilt these days for games its unreal.",EXODUS_THRASHER,2022-03-29T11:37:41Z,0.0
Awesome,mot123,2022-03-29T03:03:37Z,0.0
"literally one of the best game trailers ive ever seen, and then they paired it with the most disappointing game lmao, never got my 60 bucks back",childyeeter,2022-03-29T03:01:41Z,0.097
I HATE YOU DICE. ILL NEVER FORGIVE OR FORGET WHAT YOU DID.,joe shmoe,2022-03-28T21:29:13Z,0.462
Beautifull crash,Семен Хайденко,2022-03-28T16:04:25Z,0.73
Dont be sad that how it is sometimes,Rvo Studio,2022-03-28T14:21:05Z,0.0
Fix the game you are stealing our money helpehlehlepgelp,idrisIT5000,2022-03-27T20:02:03Z,0.316
"90% of the budget went into this trailer, 9.9% went into their own pockets and 0.1% went to hookers.
That didn’t leave much for game development.",Hughs R,2022-03-27T13:04:45Z,0.046
"This is the Black Ops 4 of the Battlefield Franchise.
(I liked BO4 btw)",Ryan Gaming 555,2022-03-27T04:28:06Z,0.149
EA&DICE:Yeah! Trailer does it again!,TyrannicBaka MK,2022-03-27T04:27:57Z,0.0
When a five minute trailer is better then a whole game,A_Person23,2022-03-27T01:29:51Z,0.0
Hope the next Battlefield has a campaign single player. You know what else would be nice? It would be real nice if we didn’t have to be put on a random team on a random map.,Paul Bauman,2022-03-27T01:11:41Z,0.06
This game technically exists,Ben Unterreiner,2022-03-26T21:36:59Z,0.0
"We've learned ""valuable lessons"" that you're scammers.",ㅇㅇ,2022-03-26T17:27:22Z,0.0
First trailer than the 145 first second dont have musics,AP0KALYPSE56,2022-03-26T13:22:23Z,0.0
Like who changed like to dislike,Someday Rock,2022-03-26T11:20:24Z,0.245
Thanks for ripping me off EA,AJ Twin Gamers,2022-03-26T11:09:02Z,0.0
"There is an old saying 
""Always expect disappointment from Dice""",Mr captain,2022-03-26T06:23:49Z,0.268
You could’ve been so great smh,Devorizer,2022-03-26T00:16:07Z,0.218
so excited I just bought this game!,BSP Games,2022-03-25T19:19:06Z,0.0
"Still a pile of trash, hey EA thanks for ripping me off. F*&^ you!",Willswagga,2022-03-25T05:41:09Z,0.0
I hope no one buys future BF games and I hope y’all get sued. I’ll never forget this massive disappointment and how we were robbed.,Null Name,2022-03-24T21:22:20Z,0.167
"Lol, I lived through so many failed promises with games. I learned that many years ago. Hence, never bought this game nor was interested in it. It's the players fault with this. For buying  into hype so many months before release date.",Somewhat Knowledgeable Geek,2022-03-24T09:09:53Z,0.167
This trailer means nothing to me now.,ArchangelGV2,2022-03-24T08:13:21Z,0.0
"Bruh waited so long for a new modern battlefield game and now I’m just sitting here wishing it could have been, purely filled with disappointment…",SmokeX _,2022-03-24T02:24:47Z,0.095
Dislike,Arbotol 0721R,2022-03-24T00:19:22Z,1.0
A letter of love to the fans...,Khabib Ramzanotschoev,2022-03-23T12:47:43Z,0.0
If only this game has the Battlefield 5 customization.,Ellie,2022-03-23T05:55:41Z,0.245
"Hey Dice, some advices:
1. Don't make promises you can't keep
2. I dont think that making another modern trash shooter is a good idea, maybe go back to making something close to BF1 or 5",Millu,2022-03-23T01:07:53Z,0.056
I don’t think anyone in the video game industry would want to mention this in their next job interview.,chester,2022-03-23T00:28:08Z,0.0
"We need more weapons to be added. Javelins, and better class weapons. More vehicles, and maps. What's going on with this games seasons and battlepass?",Revived Saiyan,2022-03-22T22:31:55Z,0.197
"I’m just glad that at least one of my favourite game companies didn’t fail us this year



Fromsoft",Armechaia,2022-03-22T00:47:01Z,0.156
"This aged poorly.


Back to playing BF1.",The Postal Dude,2022-03-21T21:30:36Z,0.0
Game is great graphics,Lord Bass Hd,2022-03-21T17:19:31Z,0.0
Where is THIS game?,Annon_,2022-03-21T14:22:21Z,0.0
"It's so beautiful to see a game that had everything to be good, but it wasn't...",Seitoshi,2022-03-21T07:35:39Z,0.0
The marketing team should’ve worked on the game themselves 💀,gdsalty,2022-03-21T06:20:38Z,0.0
Trust You,MS TIME,2022-03-21T05:04:37Z,0.0
Transexual warfare expansion pack  release date ?,Roms,2022-03-21T01:38:46Z,0.268
"""Reality is often dissapointing""",Aleks Morawski,2022-03-20T22:50:31Z,0.0
only if the game was actually like this,ErrorIsMade,2022-03-20T22:34:08Z,0.0
Should've released in 2042,Rakshit,2022-03-20T13:07:05Z,0.0
Another casualty of modern gaming. Throw it in with the others.,F0reman371,2022-03-20T09:18:27Z,0.254
Me watching this trailer with all the disappointment 🥲,Cursory,2022-03-20T08:15:17Z,0.292
More like Battlefield 2022,Christian Orsa,2022-03-20T06:45:32Z,0.375
How much is EA paying Entities for those good reviews even 6/10 is too good for this game,Patrico Fritz,2022-03-20T02:36:42Z,0.0
So sad I wasted 70 dollars for this game,compa wangito,2022-03-20T01:54:42Z,0.495
"Wow this trailer is cool, when is the full game coming out? 😑",SavagePpZ,2022-03-20T01:42:59Z,0.0
Just WOAW,Dragsteer,2022-03-19T23:10:32Z,0.0
I got fast and furious vibes on the ice scene,cammanju1,2022-03-19T22:01:38Z,0.291
My disappointment is immeasurable and my day is ruined. I was actually hipped for this game but so far it's just pure disappointment,Jaras ._.,2022-03-19T21:58:26Z,0.302
welcome.  I have a channel to provide content related to the world of cinema and games.  I need your support.  My channel is still in its early stages.. Thanks for reading.,top news1,2022-03-19T20:47:10Z,0.0
The most accurate thing in this trailer is when the flares don’t work on the osprey,Andrew Berry,2022-03-19T11:21:57Z,0.0
if only we knew what will happen...,Maxtuckabox,2022-03-19T04:09:53Z,0.0
"Are soldiers bullying planes in 2042 like in the BF5 ? :D And can soldier survive 1000KG bombs in his/her face ? You know, like in BF5 ? :D And will the game make me sad/mad anytime I play it ? You know... Like BF5 ? Is the game worth 10 Dollars ? You know like BF5 isnt ? :D",Awhoo Thunder,2022-03-19T00:32:49Z,0.089
Why would you take down hardcore public servers....and replace it with more core piblic lobbies. From all of us who pkay hardcore please keep hardcore public servers up.,Galaxon Moto,2022-03-19T00:01:33Z,0.0
"Don't mind me, I'm just here to pay my respects.",Riley Riolu,2022-03-18T18:35:32Z,0.12
"""GAME ENGINE FOOTAGE""

Welp, looks like your game engine works better for cinematics than actual games.",Drakonus,2022-03-18T14:38:04Z,0.0
I wish this was the game we got,The Bucket,2022-03-18T10:30:50Z,0.0
The best triple F game!,Zahk,2022-03-18T07:02:12Z,0.0
3:20 this is amazing 🔥🔥🔥🔥,VK Mittra,2022-03-18T02:21:58Z,0.585
"Bought it on a Wednesday....sold it the following monday .. 

Yes..  it was  that ""good""😐",rinocerota,2022-03-17T23:41:29Z,0.0
can we talk about the next battlefield already.,daydos,2022-03-17T21:04:43Z,0.271
"It is not Battlefield 2042
It is Battlefield 2022! WW1+2",Daan Pyrography,2022-03-17T20:36:39Z,0.221
"Trash game, this is more trash than my own trash in my household",EmMEw0w,2022-03-17T20:12:25Z,0.0
